Price,Living.Area,Bathrooms,Age,Fireplace,Bedrooms
83617,1272,2,115,0,4
154723,1944,3,0,0,3
101258,1232,1,43,1,3
118949,1164,2,5,0,3
128717,1215,2,41,0,3
136379,1486,3,0,0,3
124367,1272,2,1,0,3
62938,1064,1,95,0,3
172016,1547,2,11,0,3
106524,1148,1,7,0,3
147412,1821,3,0,0,3
111221,1056,1,27,0,3
75862,995,1,47,0,3
109578,1176,2,5,0,3
119166,912,1,68,0,2
185318,1500,2,208,1,4
104749,1852,1,147,0,4
44674,1214,1,103,0,3
80540,1380,2,0,0,2
93773,1324,2,5,0,3
109999,1218,2,0,1,3
16858,1629,1,180,0,3
114326,1053,1,41,1,3
106524,1308,1,17,0,2
160995,1344,2,15,1,2
139079,1608,1,63,1,3
59003,3285,2,233,0,5
147425,1582,2,11,0,3
144695,1642,2,11,1,3
130229,1248,2,11,0,3
119840,1411,1,48,1,3
129723,1593,1,63,1,3
133595,1666,3,1,1,3
126311,1471,3,4,0,3
167693,1876,3,1,1,3
103958,1486,2,16,0,3
155488,1747,3,1,0,3
152112,1512,3,18,1,3
228619,2527,3,1,1,4
139435,1666,3,0,0,3
161923,1456,2,1,1,3
261011,3015,3,1,1,4
120115,967,2,55,0,4
153013,1720,2,31,1,4
298923,3515,3,0,1,4
271791,2815,3,1,1,4
126498,720,1,113,0,3
267731,3001,3,0,1,5
181979,1822,3,4,1,3
145663,1666,3,1,1,3
128273,1343,3,15,1,2
106524,1144,1,16,1,2
101997,1214,2,17,0,2
110963,1888,1,18,1,3
147625,1668,2,16,0,2
466044,3853,3,5,1,4
116321,1486,2,16,0,3
194880,2278,3,0,1,4
143294,1360,1,53,0,4
387652,3504,3,0,1,5
240890,1921,2,0,1,3
260460,3726,3,3,1,4
90354,912,2,16,0,2
192694,2079,3,11,0,3
102801,1184,2,18,0,3
79567,908,1,19,0,2
101708,1492,3,16,0,3
162913,2011,3,12,1,4
75606,912,2,19,0,2
175874,2195,2,1,1,3
159313,1561,2,17,0,4
207237,2656,3,1,1,4
205397,2425,3,0,1,4
79116,908,1,19,0,2
161923,1158,2,7,0,3
133155,1334,2,7,0,3
159786,1561,2,16,1,3
102405,1680,2,15,0,3
114514,1514,2,17,0,3
162006,1656,2,17,1,3
93815,1184,2,19,0,2
181140,2648,3,0,1,4
137309,1092,2,33,0,3
136551,1880,2,7,0,3
107049,1592,2,16,0,3
163524,2516,2,40,1,3
181140,2310,3,31,1,4
317120,3076,4,0,1,4
77547,908,1,19,0,2
81762,912,2,19,0,2
147517,1680,1,27,0,4
263226,3355,3,1,1,4
163191,1886,3,16,1,3
125920,1605,3,0,1,3
164623,1772,2,0,1,3
161562,2044,3,16,1,3
163781,1124,1,26,0,3
235152,3192,3,2,1,4
120639,1498,2,0,1,2
123834,1092,1,72,0,5
76342,896,1,48,0,2
79982,1572,2,41,0,4
69152,986,1,133,0,3
71647,2087,3,0,1,3
140765,1596,2,49,0,3
91792,908,1,17,0,2
134865,1500,2,31,1,3
139079,1719,2,25,1,3
244443,2810,3,14,1,4
162091,1806,3,0,1,3
263226,3355,3,1,1,4
126010,1760,1,37,1,4
173102,1896,2,17,1,3
120639,1498,2,0,1,2
139079,1248,2,37,0,3
189654,2320,3,16,1,4
89432,1132,1,25,1,2
196317,2359,3,1,1,4
209122,3476,3,20,1,4
140602,1693,2,26,1,3
170567,1585,2,16,1,3
111875,1758,2,25,0,3
225885,2524,3,6,1,4
163652,1908,3,25,1,3
119858,1476,2,24,1,3
212830,2266,3,0,1,4
142907,1920,2,31,1,3
193524,1730,3,1,1,3
189836,1726,2,26,1,3
154432,1644,3,20,1,4
248204,1908,2,0,1,3
175514,2475,3,35,1,4
297024,3020,3,2,1,4
175514,2310,3,36,1,5
201616,2119,3,16,1,4
562546,5228,4,14,1,4
172814,2056,2,35,1,4
232894,2500,3,0,1,4
169124,2576,3,34,1,5
232219,2541,3,5,1,4
247520,2445,3,18,1,4
224928,2185,3,14,1,3
294133,3981,3,0,1,4
228806,2577,3,0,1,4
170600,1728,3,0,1,3
175784,1837,2,18,0,3
229055,2500,3,0,1,4
157513,1910,3,19,1,4
308750,2958,3,0,1,4
202157,2564,3,30,1,4
241885,2604,3,0,1,4
297380,2906,3,2,1,4
119751,1480,2,17,0,3
153129,1872,2,32,1,4
156679,1911,2,35,1,4
102086,1302,2,16,0,2
149933,1664,2,25,1,3
228375,2512,3,0,1,4
261872,2380,3,9,1,3
161118,1887,3,27,1,4
190856,2086,3,14,1,4
140701,1554,2,20,1,2
368396,3358,4,9,1,4
250976,2394,3,0,1,4
180032,2066,3,32,1,4
332888,3111,3,3,1,4
177452,2402,3,28,1,4
219262,2327,3,10,1,4
254327,2541,3,5,1,4
197105,1894,2,0,1,3
166888,1740,2,26,0,3
115401,1480,2,18,0,3
208610,1752,3,10,1,3
107892,1375,2,20,1,2
143294,1918,2,29,1,3
282373,2793,3,21,1,3
239301,2619,3,0,1,4
143210,1744,2,35,1,4
379678,3720,4,0,1,5
221263,2000,3,22,0,3
111264,1142,2,18,0,3
252872,2612,3,23,1,4
172315,2008,3,0,1,4
182068,2035,3,35,1,4
94405,1375,2,22,0,2
26130,822,1,173,0,2
308218,3597,3,0,1,4
117164,1536,1,55,1,2
173639,1910,3,18,1,4
282289,3017,4,0,1,4
198083,1971,3,7,1,4
100306,1314,2,19,0,2
181225,1944,3,25,1,4
103677,1375,2,21,1,2
86651,1140,2,18,0,2
96934,1480,2,19,0,3
130650,2110,2,52,1,3
105843,972,1,40,0,3
114513,960,2,11,0,2
160426,2262,2,21,0,4
105363,864,1,128,0,3
189995,2150,2,104,0,4
104084,1170,2,10,0,2
210081,1596,1,29,1,3
137508,1530,2,20,1,3
111436,1380,2,2,0,3
74422,1708,1,39,1,2
107912,1308,1,26,0,3
123757,1416,2,5,0,3
139800,1900,2,12,1,3
77921,1704,1,177,0,2
145123,1372,2,26,0,3
104412,1480,2,15,1,2
391842,3003,4,88,1,4
118468,1298,1,44,1,3
176698,1772,3,14,1,3
63852,1536,2,30,1,4
212103,1400,2,25,1,3
146611,1580,2,26,0,5
113444,1656,1,94,0,3
47630,1235,1,84,1,3
63101,1628,1,124,0,2
51183,1144,1,15,0,3
92436,1300,1,10,0,3
114513,1560,2,5,0,3
269063,3319,3,20,0,3
127303,1210,1,17,1,2
133612,1768,2,48,1,4
137508,1164,1,54,1,3
145147,1832,2,47,1,4
107306,1276,2,29,0,3
260228,2092,3,0,1,4
104412,2116,2,74,0,4
120476,1248,2,14,0,3
118409,2128,2,7,0,4
146611,1056,1,5,0,2
85560,2068,1,104,1,4
205498,3069,4,13,1,4
163478,2334,2,39,0,4
137540,1551,1,97,0,4
116862,1456,1,54,1,4
109633,775,1,47,0,2
156606,1756,2,24,1,3
139418,1296,2,51,1,4
122229,1404,2,72,0,3
179524,1632,2,20,1,4
111633,1564,1,54,1,3
134266,1501,2,44,1,3
130239,1586,2,49,1,3
121680,1412,2,103,0,3
199187,2223,3,9,0,4
126311,1370,1,27,1,3
265637,3030,3,1,1,4
229915,2103,3,6,1,4
161473,1560,1,43,1,2
150909,1512,2,7,0,3
287360,3133,3,1,1,4
189912,2316,3,7,1,3
109040,1198,1,13,0,2
144561,1292,2,4,1,3
90678,957,1,49,0,3
89955,1216,1,129,0,3
122082,2256,2,124,0,4
84333,2043,2,94,1,4
144571,1512,2,13,1,3
180803,1570,2,14,1,3
198622,1616,2,36,1,2
120192,1404,2,7,0,3
163102,1552,2,9,1,3
184515,1472,2,3,1,4
189654,2367,3,4,1,4
135820,1475,2,20,1,3
150022,1632,3,30,1,4
189776,1964,3,6,1,4
196603,2064,3,3,1,4
161839,1601,2,8,1,3
202836,2284,2,29,1,3
156797,1672,3,0,1,3
222198,2495,3,26,1,4
103262,1176,2,31,0,2
253545,1498,1,51,1,2
116170,1272,1,31,0,3
112509,1138,1,98,0,3
355529,2186,3,12,0,3
204643,1743,3,0,1,3
135011,2488,2,24,1,3
106659,936,1,34,0,3
323819,2592,3,1,0,3
135011,1327,2,35,1,2
126010,864,2,37,0,3
216018,1216,2,75,0,3
446436,3467,3,3,1,4
133155,1480,3,16,1,3
146471,892,1,113,0,2
329484,2786,3,0,1,4
509488,3530,4,0,1,4
110963,1568,2,18,0,3
300931,847,1,78,0,2
255303,2242,3,0,0,3
150909,1374,2,44,0,3
184109,1920,3,0,1,3
173446,2124,3,0,1,3
127740,1480,3,16,1,3
213048,2022,3,0,1,3
114070,1098,1,113,0,2
205947,1224,1,63,0,2
209226,2550,3,0,1,3
134378,1279,1,31,0,3
113371,1177,2,36,0,3
261301,1859,2,85,0,3
218734,2219,3,15,1,4
254944,2579,3,0,1,4
143252,1568,2,18,0,3
99463,912,1,31,0,3
123064,1209,1,73,0,2
243305,2242,3,0,0,3
212846,2270,3,0,1,3
378465,3457,3,20,1,3
263408,1738,2,5,0,3
189654,1334,2,122,0,2
357384,2322,3,0,1,3
265515,1870,3,4,1,3
168497,1888,2,6,0,3
132088,1368,1,33,0,3
130518,1200,2,1,0,3
92519,1368,1,34,0,3
229761,2230,3,1,0,3
231298,1800,3,16,1,3
152822,1043,1,104,0,3
224888,1200,1,65,0,2
244124,2346,3,0,1,4
148989,792,1,36,0,3
236936,2300,3,16,1,3
261031,2280,3,24,1,4
246976,1652,2,4,1,3
120476,2238,2,114,1,3
168065,1016,2,41,0,2
173794,1970,3,18,1,4
213901,1680,2,27,1,3
217797,1386,2,92,0,2
171885,1550,3,16,1,2
286474,2058,3,26,1,4
174940,1126,2,46,1,3
261647,1850,3,16,1,4
138424,1673,1,27,1,3
148967,2208,3,17,1,3
200940,1116,2,38,0,3
234429,1470,3,3,0,3
476301,2986,3,12,1,4
333411,3356,3,6,1,4
247639,1016,2,41,0,2
122796,1612,1,34,1,3
279083,1908,2,16,1,3
177124,1064,1,77,1,2
160007,2078,2,33,0,4
154798,2470,3,26,1,4
373227,2058,2,49,1,2
122257,1400,2,17,0,3
165213,1664,3,10,0,3
128040,1488,3,1,1,3
120476,1120,2,7,0,3
64174,672,1,46,0,2
124492,1164,2,8,0,3
111534,1032,1,4,0,3
114590,1736,2,37,1,3
97783,1061,1,48,1,3
64552,1298,1,106,0,3
114238,1164,2,7,0,3
57678,924,1,104,0,1
89232,960,1,51,0,3
72189,1594,2,81,0,4
210081,2008,3,19,1,4
126049,1268,1,25,1,3
98790,1480,2,16,1,3
103408,1034,2,14,1,2
102806,1480,2,15,1,3
159843,1350,2,1,1,2
111353,1248,2,0,0,3
234954,2294,4,0,1,4
103256,1492,2,16,0,3
81580,1336,2,20,1,2
229180,2310,3,3,1,4
116882,1542,3,10,0,3
154238,1984,3,11,0,2
100839,1480,2,17,0,2
122257,1856,2,36,1,3
128040,1688,1,29,1,3
102806,1248,1,46,1,3
236055,2405,3,16,1,4
91672,1392,2,21,0,3
130757,1394,1,33,0,4
200793,1940,2,9,0,3
202836,2068,3,17,1,4
60238,1664,2,76,0,3
40932,1320,1,90,0,3
92519,1281,3,19,1,2
148692,1397,2,14,1,2
123910,1620,3,1,1,3
103258,1344,2,16,0,3
394532,3361,4,1,1,4
187104,2040,3,1,1,4
97476,1219,2,19,0,2
125562,1253,2,16,1,2
208048,1876,3,1,1,3
334556,3296,3,6,1,4
134933,1496,1,37,1,3
178140,2200,3,1,1,4
345364,3308,3,7,1,4
285500,3328,3,0,1,4
228904,1824,3,11,1,3
207018,2147,3,9,1,4
257015,2093,3,1,1,3
160635,1336,2,11,0,3
329221,2934,3,9,1,3
136499,1152,1,36,0,3
121279,1348,3,18,1,2
240952,2376,3,10,1,4
340545,2926,3,11,1,4
176846,2249,3,1,1,4
312448,2919,3,5,1,4
314912,3423,3,0,1,4
171885,1536,3,7,1,3
225742,2216,3,8,1,3
240639,2572,3,9,1,4
236742,2412,3,10,1,4
99311,1281,3,18,1,2
136192,1623,2,36,1,4
223266,2619,3,4,1,4
133215,1364,2,19,1,2
77650,1620,2,99,0,4
150505,1785,3,1,0,3
169343,1796,3,14,0,3
115566,1184,2,17,0,3
154528,1785,3,1,0,3
218184,2655,3,1,1,4
366772,3200,3,1,1,4
199990,2011,3,12,0,4
303599,3329,2,14,0,3
94774,1240,2,17,0,2
98389,1184,2,18,0,2
110115,1385,2,17,1,2
160349,1732,2,17,1,3
75094,728,1,22,0,2
152404,1508,2,16,1,3
154314,1466,1,62,1,3
99311,690,1,114,0,3
110770,911,1,114,0,2
157370,1656,2,19,1,3
148203,1782,2,36,0,3
85585,912,2,20,0,2
137606,1508,2,19,0,3
110889,1266,1,134,1,3
96004,912,2,18,0,2
119001,1506,2,24,1,3
74421,1928,2,134,1,4
145123,1536,2,6,0,3
163728,1811,3,19,1,3
193497,1948,3,13,1,3
73892,864,2,114,0,3
113367,1760,2,133,1,4
162984,1872,2,18,0,3
202800,2250,3,2,0,4
84291,924,1,15,0,3
98632,1406,2,19,0,2
155713,3535,3,39,1,4
146626,1561,2,18,0,3
92932,988,2,19,0,2
164419,1785,3,1,1,3
218184,2655,3,1,1,4
174208,2372,2,2,1,3
200713,2504,3,14,1,4
102003,1184,2,20,0,2
85939,1527,2,17,1,2
210672,1764,3,8,1,3
98389,1184,2,18,0,2
102806,1168,2,21,0,3
111239,912,2,20,0,2
100397,912,2,18,0,2
117703,1492,3,17,1,3
152786,1508,2,20,1,3
87852,1270,1,110,0,3
180670,2310,3,31,1,4
55817,1688,2,119,0,5
230708,2548,3,3,1,3
93846,1385,2,17,0,2
243276,3271,3,1,1,4
226304,1921,2,0,1,3
119784,1560,1,25,0,2
108478,1840,1,8,0,3
154696,1704,3,17,1,3
198622,1971,3,11,0,4
167776,3106,3,8,0,4
84291,924,1,15,0,3
126436,1216,1,51,1,3
129609,1635,2,52,0,4
137127,1892,2,26,1,3
277235,2950,3,1,1,4
209555,2539,3,1,0,4
101193,1375,2,21,1,2
104084,1302,2,17,1,2
99045,937,1,19,0,2
334556,3376,3,7,1,4
186605,2328,3,1,1,3
210646,1994,2,49,1,3
230414,2623,3,0,1,4
208253,2602,3,1,1,4
104084,1480,2,19,0,3
94584,924,1,19,1,2
233155,3236,3,0,1,4
227994,1973,3,3,1,3
115649,1422,2,20,0,3
137044,1352,2,11,0,2
261846,2772,3,0,1,4
168739,1620,2,0,0,3
236936,2500,3,11,1,4
197581,1702,2,16,1,3
297174,2748,3,3,1,4
155414,2310,3,38,1,4
141760,1740,2,36,0,3
214367,2500,3,0,1,4
146981,1832,2,30,1,3
268260,2657,3,15,1,4
69876,976,2,21,0,2
143768,1612,2,37,1,3
130917,1456,1,23,1,3
187701,1992,3,30,1,4
240872,2348,3,7,1,4
206415,2676,3,34,1,4
191790,2304,3,0,1,4
312434,3440,3,3,1,4
217226,2593,3,0,1,4
176618,2162,3,19,1,4
152786,1578,3,11,1,3
190983,2088,3,22,1,4
99082,924,1,20,1,2
148585,1734,2,34,1,4
129868,1792,3,24,1,2
304045,2960,3,8,1,4
265848,2993,3,15,1,4
187087,2027,3,15,1,3
220776,2421,3,13,1,4
161190,1758,2,26,1,4
184108,2702,2,31,1,5
179524,2600,3,18,1,4
244382,2572,3,6,1,4
213137,2498,3,36,1,5
244441,2396,3,5,1,3
263938,2641,3,3,1,4
271578,3123,3,14,1,4
119937,2028,2,27,1,3
504119,3721,3,14,1,5
140945,1873,3,32,1,4
236819,2608,3,4,1,4
91672,929,2,21,0,2
93200,924,1,19,1,2
118409,1227,2,19,1,2
180288,2294,3,36,1,5
87852,976,2,23,0,2
237583,2762,3,17,1,4
357138,2618,2,1,1,3
198622,2024,2,25,1,3
148967,1864,2,154,1,3
133688,1780,3,25,0,2
156530,1734,3,29,1,4
178760,2014,2,32,1,3
103633,1314,2,21,0,2
182334,2262,3,24,1,4
204661,1927,2,3,1,3
74422,2708,2,21,0,4
161496,1910,3,20,0,4
89306,1480,2,19,0,3
152491,1875,3,31,1,4
160007,1665,2,27,1,4
212103,2170,3,3,1,3
171171,1822,2,12,0,3
171171,1784,2,104,0,3
162612,1348,2,11,1,2
95260,1480,2,15,1,3
130239,1052,2,15,1,2
125029,1836,2,27,0,3
137681,1728,2,12,0,4
175084,2214,3,22,1,3
328491,2733,3,3,1,4
282655,2931,4,12,1,4
292524,2900,3,1,1,4
140658,2254,2,31,1,4
215824,2056,3,2,1,4
165957,1212,1,87,1,2
177998,2564,3,34,1,4
260887,2176,2,36,1,3
325262,3496,3,7,1,4
114827,1332,1,45,1,3
96958,1244,2,53,0,4
104339,1290,2,16,0,3
146609,1989,2,104,1,4
150798,1212,2,6,0,3
207347,2119,3,14,1,4
199900,1808,2,6,1,2
133199,1716,2,4,1,4
167253,1872,2,16,1,3
97682,1548,2,85,0,3
79170,1536,2,105,0,3
112877,1380,1,3,0,3
78191,1080,2,15,0,3
110738,1800,2,83,0,3
101227,1754,1,110,0,4
69463,1170,1,110,0,2
167319,2088,2,2,1,3
151950,1890,2,30,1,4
188497,1742,3,5,1,3
108002,1544,2,72,0,3
104371,1463,2,125,0,3
69814,840,1,57,1,1
116938,988,1,10,0,3
200791,1680,3,4,1,3
162631,1804,3,2,1,3
166222,1498,2,10,0,3
146978,1656,2,18,1,3
156820,1720,2,27,1,3
170534,1820,3,18,1,3
209371,2076,3,13,1,3
153590,1820,2,45,1,4
124585,1468,1,51,0,4
122044,1637,2,54,0,3
224668,2526,3,1,1,4
116589,1322,1,63,0,3
179572,1736,2,17,1,3
190444,1836,2,0,1,3
213249,1643,3,3,1,3
181399,1842,2,8,0,3
193565,2167,3,8,1,3
148231,1475,2,21,0,3
337918,3026,4,1,1,4
124669,1092,2,35,0,3
167975,2311,3,20,1,4
90446,1256,2,19,0,3
101230,1040,1,12,0,3
91386,1120,1,14,0,3
149078,1664,2,14,0,3
121973,2268,1,25,0,3
123827,1302,2,35,0,3
109259,1239,1,33,1,3
473938,780,2,55,0,2
107766,1272,1,43,1,3
578856,2472,3,6,1,3
191746,1666,1,140,0,3
146161,984,1,41,1,3
140238,1322,1,130,0,3
506149,2586,3,3,1,4
107513,1008,1,38,0,3
157430,1092,1,41,1,3
330219,2576,3,31,1,3
432845,3250,3,23,1,3
240857,1445,2,17,1,3
251259,1932,2,0,1,3
169647,1430,3,5,0,3
205950,1474,2,29,1,3
338596,1908,4,17,1,4
268783,2329,2,72,0,5
118585,936,1,35,0,3
113740,1920,1,34,1,3
257499,1675,3,18,1,2
152466,1600,2,35,0,4
114519,1428,2,85,0,3
247839,1536,2,66,1,3
181516,1924,2,16,0,3
138914,1576,2,18,0,3
108421,1288,1,32,0,3
107411,840,1,2,0,2
166019,1110,1,115,1,3
93174,784,1,44,0,1
599701,5114,5,131,1,5
231749,1980,2,6,0,3
137220,1290,2,16,1,3
279522,2000,3,4,1,3
250723,2490,3,4,1,4
452745,1764,3,85,1,4
142057,952,1,102,0,3
111546,1560,1,31,0,3
262461,2932,3,31,1,4
492114,2563,2,55,0,4
298549,2310,3,23,1,2
156164,1792,3,6,0,3
183657,1250,2,43,0,4
160692,1500,2,18,1,2
147634,864,2,39,0,3
236215,1392,3,4,0,3
109249,812,1,115,0,2
139104,1760,3,135,0,4
104328,898,1,57,1,2
104984,1096,1,67,0,3
90446,1200,2,10,0,3
142420,2016,2,16,0,3
52360,1310,2,120,0,4
113796,960,1,40,0,3
104267,1056,1,47,0,3
129427,1512,2,16,0,3
151950,1890,3,27,0,3
172789,1812,2,16,1,3
135526,1952,3,31,1,4
148401,1856,2,37,1,3
65615,924,1,39,0,3
283851,2346,3,1,0,4
130782,1274,2,14,0,3
135526,1420,2,13,0,3
184315,2296,3,19,0,4
146329,2026,3,1,1,4
55851,990,2,75,0,2
111809,1711,1,112,0,3
88092,3944,1,185,1,4
26049,1344,2,13,0,3
111702,878,1,28,0,2
232989,2248,3,7,1,4
235620,2107,1,1,1,2
119389,1364,2,20,1,2
112153,1270,2,18,1,3
202527,2120,3,9,1,4
150502,1668,2,18,1,3
188497,2110,3,9,1,3
129155,1242,2,3,1,2
117287,1040,1,39,0,3
209371,2084,3,5,1,3
99903,1360,1,79,0,2
205950,2024,3,10,1,4
127055,1019,2,16,0,2
311709,3028,3,0,1,5
142302,1242,2,2,1,2
177539,1528,3,8,0,3
277828,2988,3,9,1,5
196512,1428,2,20,1,3
104984,1144,2,44,1,3
157411,1666,3,2,0,3
202751,2202,3,6,1,4
104984,1184,2,21,0,3
155929,2601,3,19,1,4
226705,2510,3,1,1,4
271339,3056,3,6,1,5
126082,1592,2,18,1,3
113600,1240,2,18,0,3
104556,1673,2,18,0,2
167145,1852,3,16,0,4
106365,1184,2,20,1,3
238951,2641,3,1,1,4
116589,1184,2,18,0,3
170345,1952,2,33,1,4
218517,2038,3,13,1,3
97739,1276,2,26,1,2
105035,908,1,21,0,2
233876,2434,3,20,1,4
104651,912,2,19,1,2
212932,2494,3,13,1,3
278906,2960,3,1,1,4
160571,1294,2,17,1,3
184315,2152,3,8,0,3
100967,988,1,20,0,2
220261,2712,3,1,0,4
189665,2203,3,1,1,3
240590,3001,3,1,1,4
169407,2310,3,33,1,4
127394,2040,3,127,0,5
222576,3144,3,1,1,4
200510,1806,2,40,0,4
155787,1540,2,16,0,3
186348,2011,3,14,1,4
217868,3344,4,1,1,4
208635,2714,3,1,0,4
82019,1518,1,130,0,3
183066,1836,3,9,0,3
236215,2066,3,2,1,3
150849,1423,2,9,1,3
178216,1512,2,12,1,3
196846,2144,3,19,1,3
135167,1610,2,17,0,3
65550,1196,2,56,0,4
143697,1376,2,14,1,3
112153,1834,2,65,0,4
163310,1720,2,19,0,3
117907,1295,2,125,0,3
49211,800,1,55,0,2
187003,1868,3,13,1,3
135823,1946,2,18,0,4
113514,1142,2,40,1,2
102530,1202,2,18,0,2
75975,1300,2,227,1,3
128434,1508,2,19,1,3
185487,2271,3,1,1,3
126082,1592,2,18,1,3
98333,912,2,18,0,2
104556,1673,2,18,0,2
157081,2310,3,33,1,4
92852,912,2,20,0,2
238951,2641,3,1,1,4
242952,1708,2,14,1,2
75399,988,1,20,0,2
220765,2058,3,1,1,3
163992,2310,3,33,1,4
233876,2434,3,20,1,4
160571,1612,2,15,1,3
251699,3081,3,1,1,4
102626,1227,1,115,1,3
203478,2762,3,1,1,4
354739,3982,5,6,1,4
184654,2212,3,18,1,4
125361,1173,1,16,1,3
237062,2604,3,0,1,4
155787,1540,2,16,0,3
236829,2472,4,0,1,4
107743,1184,2,18,0,2
210743,2120,3,10,0,3
216841,2472,3,0,1,3
118517,1592,2,18,0,3
116795,1404,2,28,1,3
158789,3344,3,0,1,4
200126,1690,3,5,1,3
178216,1512,2,12,1,3
101375,1820,2,35,0,4
103672,1476,2,6,0,3
110234,1652,2,105,1,3
206931,2331,3,1,1,4
89893,960,1,48,0,2
31113,1540,1,115,0,2
59043,1668,2,115,0,4
94064,912,1,37,0,3
50483,743,1,105,0,3
253433,3021,3,21,1,4
144335,1274,2,20,1,3
54210,792,1,55,0,2
93895,960,1,48,0,3
130574,1600,1,57,0,3
94486,1150,1,45,0,3
109577,1456,2,155,0,3
253973,2464,3,2,1,4
326330,1326,1,52,0,3
284154,2808,3,1,1,4
115771,1479,2,17,0,3
201876,2498,3,38,1,4
99491,1064,1,45,0,3
151950,1792,2,17,1,3
278936,3121,3,0,1,4
101230,1032,1,23,1,2
223055,2668,3,0,1,4
237716,2996,3,1,1,4
180817,1815,3,11,1,3
101230,1281,1,8,0,2
181516,2204,2,31,1,4
191988,2096,3,18,1,3
183610,2570,3,28,1,5
237367,2936,3,6,1,4
296708,3210,3,15,1,3
272902,3020,3,1,1,4
196875,2086,3,17,1,4
139627,1980,1,205,0,4
129155,1260,2,27,1,2
198969,1938,3,26,1,3
205950,2284,3,18,1,4
208743,1804,3,4,1,3
112400,1375,2,20,1,2
174534,2226,3,31,1,4
106117,1480,2,21,0,3
107743,1228,2,21,0,3
154499,1886,2,31,1,3
136203,1479,2,20,1,2
379472,3440,4,1,1,5
189736,2588,3,31,1,4
308253,2880,3,9,1,4
134171,2133,2,34,1,4
120279,1056,1,5,0,2
112825,1314,2,20,1,2
251400,2741,3,2,1,4
125361,1326,2,19,1,2
94868,1380,1,105,0,4
110182,1480,2,20,1,3
180927,2050,2,33,0,4
233714,2338,3,16,1,4
172795,1910,3,21,0,4
150772,1652,2,20,1,3
329328,3542,4,1,1,4
88092,929,2,22,0,2
187026,1831,2,19,1,3
132138,1468,2,161,1,2
163986,2039,3,18,1,4
159920,1794,2,37,0,3
150434,1666,2,38,0,4
216530,2388,3,20,1,4
262461,2505,3,1,1,4
206688,2284,3,17,1,4
190284,1879,3,5,1,3
157476,1664,2,34,1,3
347761,3820,5,18,1,4
262461,2809,3,2,0,4
194877,2066,3,35,1,4
166335,1664,2,37,1,3
193565,2350,3,15,1,3
232934,2116,3,20,1,3
108593,1480,2,19,0,3
124013,1524,2,180,0,3
100938,1034,2,15,0,3
94064,1480,3,16,1,2
109042,880,1,56,0,3
159175,1512,2,12,0,3
94667,912,1,34,0,3
150434,1611,2,83,1,4
149756,1470,3,11,1,3
218475,2748,3,0,1,4
172795,1512,2,15,1,3
158565,1512,2,14,0,3
60309,2039,1,55,0,3
98256,1480,3,16,1,2
238832,2872,3,0,1,5
140269,1244,2,13,1,2
98423,1355,1,60,0,3
131165,1564,2,13,0,3
93174,1022,1,55,0,3
93895,1480,2,17,1,3
213249,1904,2,2,1,2
149078,1592,2,9,1,3
155855,1332,2,9,1,3
101375,960,1,19,0,3
260485,2143,3,6,0,3
108958,1514,2,19,0,3
228291,1986,3,1,1,3
214749,2286,3,11,1,4
256417,2752,3,9,1,5
173082,1656,3,18,1,3
295426,3370,3,11,1,4
